epoch,accuracy,auc,loss,lr,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.932898759841919,0.9815848469734192,0.172466441988945,1e-05,0.9772542715072632,0.931354820728302,1.0,1.0,0.10907682776451111,1.0,1.0
1,0.9453604221343994,0.9888986349105835,0.1346103549003601,1e-05,0.9859231114387512,0.9398709535598755,1.0,1.0,0.06889639794826508,1.0,1.0
2,0.9507285356521606,0.9909476637840271,0.1183498352766037,1e-05,0.9886547923088074,0.944516122341156,0.9375,1.0,0.10565301775932312,1.0,0.875
3,0.9601227045059204,0.9930459260940552,0.10275805741548538,1e-05,0.9914231896400452,0.9545806646347046,1.0,1.0,0.04955817759037018,1.0,1.0
4,0.9668328166007996,0.9951016306877136,0.08743683248758316,1e-05,0.9930740594863892,0.9620645046234131,1.0,1.0,0.04836665093898773,1.0,1.0
5,0.9658742547035217,0.9941058158874512,0.09303811192512512,1e-05,0.9909694790840149,0.9628387093544006,1.0,1.0,0.034712668508291245,1.0,1.0
6,0.9706671833992004,0.9963618516921997,0.07618550956249237,1e-05,0.9923280477523804,0.9679999947547913,1.0,1.0,0.03591063246130943,1.0,1.0
7,0.9735429286956787,0.9963163733482361,0.07054220885038376,1e-05,0.9928778409957886,0.9713548421859741,1.0,1.0,0.02581789903342724,1.0,1.0
8,0.9720091819763184,0.9960966110229492,0.07476803660392761,1e-05,0.9931235313415527,0.9690322875976562,1.0,1.0,0.023680124431848526,1.0,1.0
9,0.9766104221343994,0.9974629878997803,0.06406880915164948,1e-05,0.9936859011650085,0.974709689617157,1.0,1.0,0.08117356896400452,1.0,1.0
10,0.977569043636322,0.9965300559997559,0.06646939367055893,1e-05,0.9947340488433838,0.9749677181243896,1.0,1.0,0.01683119684457779,1.0,1.0
11,0.9783359169960022,0.9970296621322632,0.06256730109453201,1e-05,0.9960442781448364,0.974709689617157,1.0,1.0,0.02245650440454483,1.0,1.0
12,0.9802530407905579,0.9980683326721191,0.05346427112817764,1e-05,0.9963157773017883,0.9770322442054749,1.0,1.0,0.021080266684293747,1.0,1.0
13,0.980636477470398,0.998043417930603,0.05089394003152847,1e-05,0.9950157403945923,0.9788386821746826,1.0,1.0,0.03870891034603119,1.0,1.0
14,0.9829370975494385,0.9975878000259399,0.0521501824259758,1e-05,0.9960691928863525,0.9809032082557678,1.0,1.0,0.014244782738387585,1.0,1.0
15,0.9844708442687988,0.9977766871452332,0.049690358340740204,1e-05,0.99555903673172,0.9834838509559631,1.0,1.0,0.03662024065852165,1.0,1.0
16,0.9812116622924805,0.9983594417572021,0.04818689450621605,1e-05,0.9955392479896545,0.9790967702865601,1.0,1.0,0.010386095382273197,1.0,1.0
17,0.983512282371521,0.9978960752487183,0.049964163452386856,1e-05,0.9965924024581909,0.9811612963676453,1.0,1.0,0.01947716623544693,1.0,1.0
18,0.9827454090118408,0.998000979423523,0.05320863053202629,1e-05,0.9960681796073914,0.9806451797485352,1.0,1.0,0.014344248920679092,1.0,1.0
19,0.9850460290908813,0.9982535243034363,0.04585333168506622,1e-05,0.9955624938011169,0.9842580556869507,1.0,1.0,0.012288887985050678,1.0,1.0
20,0.9898389577865601,0.9989765286445618,0.03695334494113922,1e-05,0.9979155659675598,0.9883871078491211,1.0,1.0,0.007524815388023853,1.0,1.0
21,0.9861963391304016,0.9984945058822632,0.04257076978683472,1e-05,0.9955694675445557,0.9858064651489258,1.0,1.0,0.02271556481719017,1.0,1.0
22,0.9861963391304016,0.9989343285560608,0.03929179906845093,1e-05,0.996864378452301,0.9845161437988281,1.0,1.0,0.008409620262682438,1.0,1.0
23,0.9858129024505615,0.9985102415084839,0.04026319459080696,1e-05,0.9963436722755432,0.9845161437988281,1.0,1.0,0.02227059006690979,1.0,1.0
24,0.9884969592094421,0.9990183115005493,0.031477127224206924,1e-05,0.9973924160003662,0.9870967864990234,1.0,1.0,0.025522366166114807,1.0,1.0
25,0.987730085849762,0.9986152648925781,0.03927144780755043,1e-05,0.9979096055030823,0.9855483770370483,1.0,1.0,0.010466722771525383,1.0,1.0
26,0.9907975196838379,0.9991404414176941,0.029850251972675323,5e-06,0.9986969232559204,0.9889032244682312,1.0,1.0,0.008946801535785198,1.0,1.0
27,0.9883052110671997,0.9994483590126038,0.03214047849178314,5e-06,0.9966145753860474,0.9876129031181335,1.0,1.0,0.011523156426846981,1.0,1.0
28,0.9925230145454407,0.9992635250091553,0.02712695673108101,5e-06,0.9981818199157715,0.991741955280304,1.0,1.0,0.022048553451895714,1.0,1.0
29,0.9909892678260803,0.9991061091423035,0.0299163069576025,5e-06,0.9976599216461182,0.9901935458183289,1.0,1.0,0.0051885126158595085,1.0,1.0
30,0.9890720844268799,0.9993593692779541,0.030980419367551804,5e-06,0.9971354007720947,0.9881290197372437,1.0,1.0,0.004592204932123423,1.0,1.0
31,0.9919478297233582,0.9996492862701416,0.024558518081903458,5e-06,0.9981803894042969,0.9909677505493164,1.0,1.0,0.0032361475750803947,1.0,1.0
32,0.9875383377075195,0.9987783432006836,0.03720457851886749,5e-06,0.9953197836875916,0.987870991230011,1.0,1.0,0.006771610118448734,1.0,1.0
33,0.9927147030830383,0.9998034238815308,0.021675053983926773,5e-06,0.9987002611160278,0.9914838671684265,1.0,1.0,0.0034063023049384356,1.0,1.0
34,0.9919478297233582,0.9997142553329468,0.023233747109770775,5e-06,0.9979215264320374,0.9912257790565491,1.0,1.0,0.004426253028213978,1.0,1.0
35,0.9925230145454407,0.9992884397506714,0.02523634023964405,5e-06,0.9981818199157715,0.991741955280304,1.0,1.0,0.006303011439740658,1.0,1.0
36,0.9915643930435181,0.9995112419128418,0.026100875809788704,5e-06,0.9971450567245483,0.9914838671684265,1.0,1.0,0.003701884765177965,1.0,1.0
37,0.9950153231620789,0.9997115135192871,0.018437251448631287,2.5e-06,0.998962938785553,0.9943225979804993,1.0,1.0,0.004196861758828163,1.0,1.0
38,0.9950153231620789,0.9996521472930908,0.020638030022382736,2.5e-06,0.9981879591941833,0.9950968027114868,1.0,1.0,0.004966455977410078,1.0,1.0
39,0.9938650131225586,0.9996635317802429,0.02144777961075306,2.5e-06,0.998443603515625,0.9932903051376343,1.0,1.0,0.004134949296712875,1.0,1.0
40,0.9938650131225586,0.9992775321006775,0.023251965641975403,2.5e-06,0.9981850981712341,0.9935483932495117,1.0,1.0,0.008444584906101227,1.0,1.0
41,0.9930981397628784,0.9997385740280151,0.021852051839232445,2.5e-06,0.9974086284637451,0.9932903051376343,1.0,1.0,0.004029717296361923,1.0,1.0
